Component,Dependency
"actor/components/svelte/ActorListView.svelte","common/svelte/ViewLink.svelte"
"actor/components/svelte/ActorListView.svelte","common/svelte/PageHeader.svelte"
"actor/components/svelte/ActorListView.svelte","common/svelte/SearchInput.svelte"
"actor/components/svelte/ActorListView.svelte","common/svelte/EntityLink.svelte"
"actor/components/svelte/ActorListView.svelte","common/svelte/DataExtractLink.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","common/svelte/PageHeader.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","common/svelte/ViewLink.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/AggregateOverlayDiagram.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","aggregate-overlay-diagram/components/context-panel/AggregateOverlayDiagramInstanceContextPanel.svelte"
"aggregate-overlay-diagram/components/OverlayDiagramInstanceView.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/AggregateOverlayDiagram.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/Callout.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/WidgetSelector.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/Callout.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutCreatePanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutCreatePanel.svelte","system/svelte/ratings-schemes/ColorPicker.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutDeletePanel.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte","common/svelte/Markdown.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutCreatePanel.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutList.svelte","aggregate-overlay-diagram/components/aggregate-overlay-diagram/callout/CalloutDeletePanel.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/presets/CreatePresetPanel.svelte","common/svelte/Icon.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/presets/PresetSelector.svelte","common/svelte/NoData.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/presets/PresetSelector.svelte","common/svelte/Markdown.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/aggregated-entities/AggregatedEntitiesOverlayCell.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/aggregated-entities/AggregatedEntitiesWidgetParameters.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/app-costs/AppCostOverlayCell.svelte","common/svelte/EntityLink.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/app-costs/AppCostWidgetParameters.svelte","common/svelte/entity-pickers/AllocationSchemePicker.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/app-costs/AppCostWidgetParameters.svelte","common/svelte/entity-pickers/CostKindPicker.svelte"
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/app-counts/AppCountOverlayCell.svelte",
"aggregate-overlay-diagram/components/aggregate-overlay-diagram/widgets/app-counts/AppCountWidgetParameters.svelte",
